rec|n-0|n-1|n-2|n-3|n-4|n-5|n-6|y|yhat
2036|UNK|IG|IG|lane|du|quoin|il|IG|SS|0.999945878983
2043|UNK|UNK|604|south|IG|ave|du|IG|SD|0.543721616268
2054|IG|IG|blvd|IG|IG|san|francisco|UT|CN|0.946173429489
2055|IG|blvd|IG|IG|san|francisco|ca|UV|SN|0.759453892708
2061|UNK|UNK|UNK|IG|1|box|IG|SN|RR|0.766627907753
2062|UNK|UNK|IG|1|box|IG|IG|UV|RV|0.623031318188
2064|IG|1|box|IG|IG|pa|IG|IG|BV|0.999047458172
2079|rr|1|box|IG|IG|ok|IG|SN|BV|0.998975038528
2099|UNK|UNK|UNK|po|box|IG|new|IG|PO|0.9988296628
2101|UNK|po|box|IG|new|IG|oh|HN|BV|0.997998893261
2111|n|IG|dr|IG|pointe|mi|IG|CN|SN|0.989479005337
2124|UNK|UNK|IG|south|IG|ln|hyde|IG|SD|0.932868599892
2134|UNK|IG|ocean|IG|IG|sc|IG|IG|SN|0.999168634415
2140|UNK|IG|IG|drive|IG|in|IG|IG|SS|0.999868512154
2146|UNK|UNK|IG|san|IG|dr|franklin|SN|CN|0.981066942215
2147|UNK|IG|san|IG|dr|franklin|ma|IG|SN|0.999924659729
2161|UNK|IG|IG|lane|IG|va|IG|IG|SS|0.999687671661
2167|UNK|UNK|IG|d|lake|IG|drive|UV|SN|0.967446208
2168|UNK|IG|d|lake|IG|drive|IG|SN|SS|0.881548166275
2169|IG|d|lake|IG|drive|IG|ny|IG|SN|0.997974932194
2170|d|lake|IG|drive|IG|ny|IG|IG|SS|0.999476015568
2175|UNK|UNK|2121|bay|IG|ter|IG|IG|SN|0.999070227146
2176|UNK|2121|bay|IG|ter|IG|md|IG|SN|0.999878764153
2200|UNK|IG|IG|route|131|IG|oh|SN|SS|0.996827304363
2201|IG|IG|route|131|IG|oh|IG|SN|UV|0.991446971893
2215|IG|IG|dr|IG|IG|tx|IG|CN|SN|0.962236225605
2243|UNK|UNK|IG|IG|oaks|ct|arlington|IG|SN|0.999868154526
2244|UNK|IG|IG|oaks|ct|arlington|tx|IG|SN|0.999674320221
2258|UNK|UNK|IG|IG|IG|dr|el|IG|SN|0.999429404736
2259|UNK|IG|IG|IG|dr|el|paso|IG|SN|0.999914646149
2274|UNK|UNK|IG|IG|IG|way|el|IG|SN|0.998887121677
2275|UNK|IG|IG|IG|way|el|paso|IG|SN|0.999970793724
2307|UNK|UNK|IG|saint|IG|drive|mckinney|IG|SN|0.999957919121
2308|UNK|IG|saint|IG|drive|mckinney|tx|IG|SN|0.99996483326
2309|IG|saint|IG|drive|mckinney|tx|75070|IG|SS|0.999715745449
2315|UNK|UNK|IG|IG|oak|court|houston|IG|SN|0.999605715275
2316|UNK|IG|IG|oak|court|houston|tx|IG|SN|0.999959349632
2317|IG|IG|oak|court|houston|tx|IG|IG|SS|0.999593794346
2324|UNK|IG|IG|lane|el|paso|tx|IG|SS|0.997627437115
2331|UNK|UNK|IG|IG|IG|dr|el|IG|SN|0.999429404736
2332|UNK|IG|IG|IG|dr|el|paso|IG|SN|0.999914646149
2339|UNK|UNK|UNK|IG|IG|IG|IG|IG|HN|0.984694302082
2340|UNK|UNK|IG|IG|IG|IG|suite|IG|SN|0.931504428387
2341|UNK|IG|IG|IG|IG|suite|5|IG|ON|0.57051295042
2342|IG|IG|IG|IG|suite|5|IG|IG|ON|0.954957127571
2343|IG|IG|IG|suite|5|IG|tx|IG|UT|0.915317773819
2357|UNK|IG|IG|drive|houston|tx|IG|IG|SS|0.999866008759
2363|UNK|UNK|IG|IG|point|drv|plano|IG|SN|0.999947428703
2365|IG|IG|point|drv|plano|tx|IG|IG|SS|0.994769275188
